True Label,Most Confused With,Count,Percentage,Mean PSNR
airplane,frog,1185,35.40%,20.22
automobile,truck,1378,36.71%,20.24
bird,frog,2086,56.64%,20.13
cat,frog,2158,57.00%,20.18
deer,frog,2013,55.08%,20.08
dog,frog,1673,42.10%,20.15
frog,deer,668,32.71%,20.14
horse,frog,1773,45.11%,20.16
ship,frog,1314,38.12%,20.15
truck,frog,1814,49.52%,20.22
