,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,398,17,73,3273,18,0,29,0,179,13
automobile,8,777,2,2980,5,0,24,0,53,151
bird,41,0,307,3433,36,20,147,7,8,1
cat,5,1,22,3828,13,31,94,1,2,3
deer,6,0,56,3474,289,10,150,9,6,0
dog,1,1,39,3641,27,193,78,14,6,0
frog,3,0,23,3336,47,9,576,0,6,0
horse,10,0,33,3458,208,23,31,223,11,3
ship,36,31,18,3153,3,7,42,1,693,16
truck,19,148,3,3219,8,4,12,4,54,529
