,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,1078,17,448,676,352,353,299,25,626,126
automobile,168,752,31,966,209,117,335,4,532,886
bird,236,7,510,1344,696,294,606,42,242,23
cat,192,11,137,1604,869,137,531,162,265,92
deer,207,10,426,919,382,633,940,119,355,9
dog,29,2,64,1113,568,1793,228,77,74,52
frog,81,21,92,1667,884,264,796,21,127,47
horse,86,3,79,1326,1306,438,161,497,71,33
ship,430,167,155,759,503,556,574,27,379,450
truck,83,309,44,522,271,527,419,22,590,1213
