epsilon,clean_acc,fgsm_acc,pgd_acc,mean_psnr_fgsm
0.05,95.41,43.33,0.0,32.10
0.1,95.41,14.67,0.01,26.11
0.15000000000000002,95.41,10.13,0.0,22.63
0.2,95.41,10.0,0.02,20.17
