,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,129,16,878,594,1032,24,523,22,687,95
automobile,142,274,69,472,369,2,823,9,394,1446
bird,372,1,15,1063,1207,142,1097,50,45,8
cat,45,2,660,9,1374,606,1121,124,46,13
deer,39,0,949,1545,0,218,889,333,27,0
dog,1,0,590,1939,851,7,497,96,13,6
frog,29,0,1024,1358,1408,45,74,21,34,7
horse,17,2,334,656,2612,223,139,5,8,4
ship,540,28,527,745,1250,14,614,8,179,95
truck,186,293,271,848,927,21,430,102,360,562
