epsilon,clean_acc,fgsm_acc,pgd_acc,mean_psnr_pgd
0.05,85.61,92.4,3.62,35.73
0.1,85.61,49.9,0.31,30.10
0.15000000000000002,85.61,14.14,0.3,26.85
0.2,85.61,8.1,0.56,24.51
