epsilon,clean_acc,fgsm_acc,pgd_acc,mean_psnr_fgsm
0.05,81.03,94.45,6.24,32.10
0.1,81.03,13.77,29.96,26.11
0.15000000000000002,81.03,9.18,32.67,22.63
0.2,81.03,9.34,21.17,20.17
