,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,21,23,528,698,1016,145,364,245,915,45
automobile,325,97,155,861,272,227,746,137,328,852
bird,543,7,65,1254,620,219,637,424,226,5
cat,210,0,174,8,450,940,1318,571,279,50
deer,213,4,365,1245,75,273,671,986,159,9
dog,169,3,266,1599,395,60,619,776,104,9
frog,245,11,669,1136,1071,270,40,326,213,19
horse,209,1,232,740,1591,488,611,51,65,12
ship,667,84,219,1467,527,225,483,179,42,107
truck,295,843,86,1318,243,125,224,347,499,20
