,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,989,2,857,1522,5,37,561,2,15,10
automobile,39,963,573,1650,0,76,651,0,1,47
bird,18,0,1774,1394,10,93,704,5,1,1
cat,8,4,750,2360,7,79,774,9,4,5
deer,0,0,805,1725,982,21,465,1,0,1
dog,2,1,1066,1395,19,1082,413,15,0,7
frog,4,1,558,1767,5,13,1651,0,0,1
horse,5,0,957,1315,22,31,714,948,2,6
ship,26,6,771,1649,0,13,571,3,954,7
truck,11,16,692,1623,1,55,627,1,3,971
