,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,0,16,929,2046,91,23,705,9,156,25
automobile,454,0,673,1909,91,23,527,6,56,261
bird,875,2,0,1815,53,56,1174,5,13,7
cat,670,25,276,0,76,465,2428,33,14,13
deer,389,0,702,2423,0,82,374,25,3,2
dog,362,0,1009,2006,47,0,554,21,1,0
frog,258,0,145,3451,78,36,0,5,23,4
horse,181,0,696,2216,289,107,509,0,1,1
ship,304,21,961,1998,121,12,555,0,0,28
truck,122,61,796,2405,99,14,433,11,59,0
