,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,1496,5,426,501,81,1,4,7,1477,2
automobile,34,1774,401,587,35,0,2,3,1149,15
bird,57,0,2093,1322,164,19,28,11,306,0
cat,18,3,907,1726,462,37,40,32,774,1
deer,26,0,354,1499,1852,10,14,11,234,0
dog,12,8,644,1219,670,904,27,45,466,5
frog,18,0,689,1447,364,4,1181,0,296,1
horse,13,1,790,635,550,6,6,1288,711,0
ship,37,6,43,916,11,1,4,2,2974,6
truck,34,223,159,652,39,0,4,4,1719,1166
