,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,935,3,48,2938,0,0,20,0,54,2
automobile,239,223,1,3399,0,0,40,0,56,42
bird,337,0,167,3350,0,1,128,0,17,0
cat,83,1,18,3774,0,1,94,0,27,2
deer,180,0,42,3546,4,0,205,0,23,0
dog,101,0,48,3742,0,16,79,1,13,0
frog,81,1,13,3518,0,0,341,0,46,0
horse,250,0,50,3612,16,0,42,11,19,0
ship,508,6,23,3180,3,0,40,0,239,1
truck,259,33,10,3538,0,0,12,0,86,62
