epsilon,clean_acc,fgsm_acc,pgd_acc,mean_psnr_pgd
0.05,95.41,43.33,0.0,36.61
0.1,95.41,14.67,0.01,30.64
0.15000000000000002,95.41,10.13,0.0,27.16
0.2,95.41,10.0,0.02,24.69
