epsilon,clean_acc,fgsm_acc,pgd_acc,mean_psnr_pgd
0.05,89.17,14.79,8.25,35.92
0.1,89.17,10.76,2.68,30.32
0.15000000000000002,89.17,10.88,1.1,26.97
0.2,89.17,10.76,0.51,24.58
