,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,653,17,617,538,363,4,1185,26,496,101
automobile,244,246,55,176,99,0,1343,10,449,1378
bird,331,14,317,549,530,44,2086,50,53,26
cat,62,15,506,214,592,264,2158,98,68,23
deer,59,2,533,730,345,21,2013,261,36,0
dog,15,0,411,1324,368,26,1673,66,98,19
frog,55,2,633,616,668,8,1958,14,32,14
horse,49,3,283,486,1243,69,1773,70,15,9
ship,835,33,329,487,314,4,1314,9,553,122
truck,314,315,202,343,298,4,1814,82,291,337
