epsilon,clean_acc,fgsm_acc,pgd_acc,mean_psnr_fgsm
0.05,93.9,25.26,0.0,32.10
0.1,93.9,12.17,0.0,26.11
0.15000000000000002,93.9,10.19,0.0,22.63
0.2,93.9,10.1,0.0,20.17
