epsilon,clean_acc,fgsm_acc,pgd_acc,mean_psnr_pgd
0.05,81.03,94.45,6.24,35.84
0.1,81.03,13.77,29.96,30.17
0.15000000000000002,81.03,9.18,32.67,26.85
0.2,81.03,9.34,21.17,24.49
